PALABRA,FRECUENC
ababa,0
abacá,0
ábaco,0
abada,0
abadí,0
abajo,304
abano,0
abasí,0
abate,7
abatí,2
abecé,0
abeja,7
abete,0
abeto,6
abiar,0
abiso,0
abita,0
abono,4
abozo,0
abril,47
abrir,122
ábsit,0
abubo,0
abuje,0
abuso,20
acabe,16
acabo,56
ácana,0
ácaro,0
acaso,309
acato,2
acaya,0
acayo,0
acebo,1
aceda,0
acedo,0
aceña,2
acera,57
ácere,0
acero,34
aceta,0
aceto,0
acezo,0
achís,0
acial,0
aciar,0
ácida,13
ácido,55
acije,0
acilo,0
ácimo,0
ación,0
aclla,0
acodo,0
ácoro,0
acose,0
acoso,15
acroe,0
acroy,0
actea,0
actor,119
ácuea,0
ácueo,0
ácula,0
acure,0
acuse,3
acuta,0
acutí,0
acuto,0
adala,0
adaza,0
adema,0
ademe,0
adiar,0
adiós,53
adiva,0
adive,0
adoba,0
adobe,9
adobo,2
adoro,1
adral,0
adrar,0
adtor,0
aduar,0
adufa,0
adufe,1
aduja,0
adula,0
aduro,0
aérea,11
aéreo,5
áfaca,0
afaño,0
afate,0
afear,1
afiar,0
afice,0
afija,0
afijo,0
afila,1
áfila,0
afilo,0
áfilo,0
afino,0
áfona,0
áfono,0
aforo,3
afufa,0
agace,0
agamí,0
ágape,1
ágata,1
agave,0
agnus,0
agora,0
ágora,4
agosa,0
agoso,0
agote,6
agrás,0
agraz,2
agria,9
agrio,16
agror,0
aguaí,0
aguar,0
aguay,0
aguda,24
agudo,28
aguín,0
agüío,0
aguja,31
agutí,0
ahílo,0
ahína,0
ahíta,2
ahíto,2
ahogo,13
ahora,2145
aíllo,0
aínas,0
airar,0
aireo,0
aires,79
airón,1
ajada,4
ajado,2
ajajá,0
ajear,0
ajebe,0
ajena,70
ajeno,88
ajera,0
ajero,0
ajete,0
ajipa,0
ajobo,0
ajote,0
ajuar,8
ajuna,0
ajuno,0
álabe,0
alaco,0
alada,3
alado,4
alafa,0
álaga,0
alajú,0
alalá,0
álala,0
álalo,0
alama,0
álamo,4
alana,0
alano,0
alazo,0
albar,0
albín,0
albis,0
albor,2
álbum,8
albur,2
alcea,0
alcor,0
aldea,47
alear,0
alece,0
aleda,0
aleja,24
alelí,0
alelo,0
alema,1
alera,0
alero,5
aleta,14
aleto,0
aleve,1
aleya,1
alezo,0
alfar,0
alfil,5
alfiz,0
alfoz,1
algar,1
algol,0
algún,756
alhoz,0
aliar,0
alias,5
álica,0
alier,0
alifa,0
alijo,2
álimo,0
aliño,1
alioj,0
aliso,2
aljez,0
aljor,0
allén,0
almea,0
almez,0
almud,0
aloes,0
aloja,5
alora,0
alosa,0
aloya,0
alpes,0
alpez,0
altar,36
altea,0
álter,0
altor,0
aluda,0
aludo,2
aluén,0
álula,0
álveo,0
alzar,17
amada,32
amado,38
amago,12
ámago,0
ámala,1
ámalo,0
amaño,0
amara,1
amaro,0
amate,0
ámbar,21
ambas,160
ambón,0
ambos,310
ameba,1
amelo,0
amena,2
ameno,5
ameos,0
amiba,0
amibo,0
amida,0
amiga,136
amigo,362
amina,1
amino,0
amirí,0
amito,0
amole,0
amomo,0
ampla,0
amplo,0
ampón,0
amuje,0
amura,0
amuso,0
anabí,0
anaco,0
ánade,5
anafe,1
anamú,0
ananá,0
anata,0
ancha,40
ancho,43
ancla,13
ancón,0
andar,136
andas,7
andel,0
andén,7
andón,0
anear,0
aneja,0
anejo,0
aneto,0
anexa,1
anexo,2
ángel,50
angla,0
anglo,4
angor,1
ángor,0
angra,0
ánima,4
anime,0
ánimo,137
anión,8
anito,0
anjeo,0
ánodo,14
anona,0
ánsar,0
ansia,26
antes,1585
antia,0
antón,0
antor,0
antro,3
anual,29
ánula,0
ánulo,0
anura,0
anuro,0
añada,4
añeja,3
añejo,4
añera,0
añero,0
añina,0
añino,0
añoja,0
añojo,0
añosa,2
añoso,1
aocar,0
aojar,0
aonia,0
aonio,0
aorar,0
aorta,1
aovar,1
apaño,0
apear,2
apego,12
apena,1
apepú,0
apero,0
ápice,9
apiri,0
apito,0
apnea,0
ápoca,0
ápoda,0
apodo,9
ápodo,0
apoyo,68
aprés,0
aptar,0
apure,0
apuro,11
aquea,0
aquel,1336
aquén,0
aqueo,0
árabe,34
arabí,1
arabo,0
arada,0
arado,1
arana,0
araña,18
araño,0
arasá,0
arate,0
árbol,110
árbor,0
arcar,0
arcaz,0
arcea,0
arcén,0
archa,0
archí,0
arcón,6
árdea,0
arder,8
ardid,1
ardil,0
ardor,17
ardua,7
arduo,12
areca,0
arena,92
arepa,0
arete,2
arfar,0
arfil,0
argán,0
argel,0
argén,0
argón,3
argos,0
argot,7
argue,0
argüe,0
árida,5
árido,3
aries,5
arija,0
arije,0
arijo,0
arilo,0
aríol,0
arlar,0
armar,15
armón,0
armos,0
arnés,6
aroca,1
aroma,61
aromo,0
arpar,0
arpeo,0
arpía,1
arpón,4
arras,1
arrás,0
arraz,0
arreo,5
arria,0
arroz,27
artal,0
artar,0
artos,1
árula,0
aruño,0
arzón,2
asada,3
asado,13
ásaro,0
áscar,0
ascia,0
ascio,0
ascua,3
asear,2
asilo,15
asina,0
asmar,0
asnal,1
asomo,16
aspar,0
áspid,1
aspro,0
aster,0
astil,0
astro,7
astur,1
asuso,0
atabe,0
atada,9
atado,21
atajo,8
ataúd,17
atear,0
ateje,0
ática,0
ático,7
atino,0
atlas,16
atoar,0
atoba,0
atole,0
